Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Clu Clu Land,23.07.2026,0h15m,JA,3,3,8,7,6,"6,13","4,89","5,11",https://www.youtube.com/live/YM_OrjDGuzo?si=LjE4Gahdx1Y5RICk&t=21278,Puzzle
NES,Darkwing Duck,26.07.2026,2h07m,NEIN,7,9,9,3,9,"8,53","8,56","8,55",https://www.youtube.com/live/WtX7g3dYTVw?si=8-7NX_vmLPk6PWsP&t=12459,Action
NES,Alpha Mission,26.07.2026,0h29m,JA,2,3,8,8,7,"5,48","5,11","5,18",https://www.youtube.com/live/WtX7g3dYTVw?si=Al0xx1My3J4d8AM0&t=20763,Shooter
NES,The Adventures of Bayou Billy,27.07.2026,0h10m,JA,5,7,4,8,3,"3,36","4,44","4,25",,Action
NES,Batman: The Video Game,28.07.2026,1h45m,JA,9,10,9,7,9,"8,22","9,22","9,04",,Action
NES,A Boy and his Blob,,,,,,,,,,,,,Jump & Run
NES,"Action in New York 
(US: S.C.A.T.: Special Cybernetic Attack Team)",,,,,,,,,,,,,Action
NES,Adventure Island Classic,,,,,,,,,,,,,Jump & Run
NES,Adventure of Lolo,,,,,,,,,,,,,Puzzle
NES,Adventure of Lolo 3,,,,,,,,,,,,,Puzzle
NES,Air Fortress,,,,,,,,,,,,,Shooter
NES,Aladdin,,,,,,,,,,,,,Jump & Run
NES,Alien 3,,,,,,,,,,,,,Action
NES,Anticipation,,,,,,,,,,,,,Strategie
NES,Arch Rivals,,,,,,,,,,,,,Action
NES,Astyanax,,,,,,,,,,,,,Action
NES,Athletic World,,,,,,,,,,,,,Action
NES,"Bad Dudes Vs. Dragon Ninja 
(US: Bad Dudes)",,,,,,,,,,,,,Prügelspiel
NES,Banana Prince,,,,,,,,,,,,,Jump & Run
NES,Barbie,,,,,,,,,,,,,Action
NES,Barker Bill's Trick Shooting,,,,,,,,,,,,,Shooter
NES,Baseball,,,,,,,,,,,,,Sport
NES,Batman Returns,,,,,,,,,,,,,Prügelspiel
NES,Battleship,,,,,,,,,,,,,Strategie
NES,"Best of the Best: 
Championship Karate",,,,,,,,,,,,,Prügelspiel
NES,Bigfoot,,,,,,,,,,,,,Rennspiel
NES,Blades of Steel,,,,,,,,,,,,,Action
NES,Blaster Master,,,,,,,,,,,,,Action
NES,Bucky O'Hare,,,,,,,,,,,,,Action
NES,Burai Fighter,,,,,,,,,,,,,Shooter
NES,California Games,,,,,,,,,,,,,Action
NES,Castelian,,,,,,,,,,,,,Action
NES,Castlevania II – Simon’s Quest,,,,,,,,,,,,,Action
NES,Castlevania III – Dracula‘s Curse,,,,,,,,,,,,,Action
NES,Championship Rally,,,,,,,,,,,,,Rennspiel
NES,Chessmaster,,,,,,,,,,,,,Strategie
NES,Chip n‘ Dale - Rescue Rangers,,,,,,,,,,,,,Jump & Run
NES,Chip n' Dale - Rescue Rangers 2,,,,,,,,,,,,,Jump & Run
NES,Cobra Triangle,,,,,,,,,,,,,Action
